p_believe,share_propensity,belief_lability,resistance,pid,story
0.4,0.3,0.2,0.6,25,fake
0.45,0.2,0.15,0.55,25,true
0.6,0.7,0.3,0.4,26,fake
0.4,0.3,0.1,0.2,26,true
0.75,0.65,0.3,0.8,27,fake
0.75,0.65,0.2,0.8,27,true
0.65,0.7,0.2,0.75,28,fake
0.65,0.55,0.2,0.7,28,true
0.65,0.7,0.2,0.3,29,fake
0.75,0.3,0.2,0.8,29,true
0.3,0.2,0.15,0.8,30,fake
0.45,0.2,0.1,0.8,30,true
0.65,0.3,0.2,0.45,31,fake
0.65,0.2,0.15,0.55,31,true
0.35,0.2,0.15,0.3,32,fake
0.4,0.3,0.1,0.2,32,true
0.45,0.35,0.15,0.2,33,fake
0.45,0.35,0.2,0.3,33,true
0.2,0.15,0.05,0.8,34,fake
0.6,0.2,0.1,0.8,34,true
0.7,0.8,0.2,0.3,35,fake
0.7,0.65,0.2,0.2,35,true
0.65,0.7,0.15,0.2,36,fake
0.65,0.7,0.3,0.8,36,true
0.15,0.05,0.02,0.75,37,fake
0.35,0.15,0.05,0.6,37,true
0.3,0.2,0.15,0.4,38,fake
0.3,0.2,0.1,0.4,38,true
0.2,0.15,0.05,0.6,39,fake
0.4,0.2,0.1,0.6,39,true
0.65,0.75,0.2,0.3,40,fake
0.65,0.45,0.2,0.75,40,true
0.4,0.3,0.2,0.7,41,fake
0.45,0.2,0.05,0.75,41,true
0.45,0.3,0.2,0.4,42,fake
0.55,0.35,0.15,0.45,42,true
0.2,0.1,0.05,0.8,43,fake
0.4,0.2,0.1,0.75,43,true
0.2,0.1,0.05,0.8,44,fake
0.3,0.1,0.05,0.8,44,true
0.6,0.4,0.2,0.3,45,fake
0.8,0.6,0.3,0.4,45,true
0.75,0.6,0.2,0.8,46,fake
0.65,0.4,0.3,0.75,46,true
0.45,0.2,0.15,0.8,47,fake
0.15,0.05,0.02,0.8,47,true
0.65,0.55,0.2,0.3,48,fake
0.65,0.55,0.2,0.4,48,true
0.35,0.2,0.15,0.6,49,fake
0.4,0.3,0.2,0.6,49,true
0.3,0.2,0.15,0.8,50,fake
0.3,0.2,0.1,0.8,50,true
0.75,0.7,0.15,0.8,51,fake
0.65,0.4,0.15,0.2,51,true
0.65,0.55,0.2,0.4,52,fake
0.65,0.45,0.2,0.55,52,true
0.65,0.5,0.2,0.35,53,fake
0.65,0.35,0.2,0.4,53,true
0.45,0.4,0.3,0.35,54,fake
0.45,0.3,0.2,0.4,54,true
0.45,0.35,0.2,0.4,55,fake
0.65,0.45,0.2,0.4,55,true
0.35,0.2,0.15,0.45,56,fake
0.4,0.3,0.2,0.5,56,true
0.7,0.6,0.3,0.2,57,fake
0.7,0.6,0.3,0.4,57,true
0.75,0.85,0.2,0.9,58,fake
0.85,0.75,0.6,0.9,58,true
0.35,0.2,0.1,0.4,59,fake
0.45,0.15,0.1,0.5,59,true
0.35,0.2,0.15,0.6,60,fake
0.45,0.25,0.1,0.6,60,true
0.2,0.3,0.1,0.8,61,fake
0.35,0.15,0.05,0.8,61,true
0.45,0.35,0.2,0.75,62,fake
0.65,0.3,0.15,0.75,62,true
0.65,0.75,0.4,0.6,63,fake
0.75,0.65,0.2,0.6,63,true
0.4,0.3,0.2,0.6,64,fake
0.4,0.2,0.1,0.5,64,true
0.6,0.7,0.2,0.2,65,fake
0.65,0.7,0.15,0.3,65,true
0.75,0.65,0.4,0.2,66,fake
0.7,0.6,0.2,0.3,66,true
0.45,0.35,0.2,0.3,67,fake
0.65,0.4,0.2,0.45,67,true
0.6,0.4,0.2,0.8,68,fake
0.3,0.2,0.05,0.8,68,true
0.35,0.2,0.15,0.55,69,fake
0.45,0.2,0.05,0.6,69,true
0.45,0.35,0.15,0.4,70,fake
0.45,0.25,0.15,0.35,70,true
0.65,0.6,0.4,0.2,71,fake
0.65,0.45,0.2,0.3,71,true
0.65,0.7,0.4,0.2,72,fake
0.6,0.4,0.2,0.3,72,true
0.75,0.7,0.3,0.2,73,fake
0.8,0.6,0.3,0.2,73,true
0.45,0.25,0.15,0.55,74,fake
0.45,0.25,0.15,0.55,74,true
0.4,0.3,0.2,0.8,75,fake
0.75,0.4,0.15,0.85,75,true
0.65,0.55,0.2,0.4,76,fake
0.6,0.4,0.2,0.3,76,true
0.75,0.6,0.2,0.3,77,fake
0.8,0.65,0.3,0.2,77,true
0.35,0.45,0.15,0.25,78,fake
0.45,0.2,0.1,0.4,78,true
0.2,0.15,0.1,0.75,79,fake
0.45,0.2,0.1,0.75,79,true
0.75,0.65,0.2,0.3,80,fake
0.75,0.6,0.2,0.3,80,true
0.7,0.6,0.2,0.8,81,fake
0.75,0.6,0.2,0.7,81,true
0.2,0.15,0.05,0.8,82,fake
0.2,0.1,0.05,0.7,82,true
0.65,0.7,0.2,0.8,83,fake
0.6,0.3,0.2,0.7,83,true
0.45,0.4,0.15,0.55,84,fake
0.45,0.2,0.15,0.4,84,true
0.55,0.4,0.15,0.6,85,fake
0.45,0.25,0.1,0.6,85,true
0.2,0.1,0.05,0.6,86,fake
0.65,0.3,0.15,0.4,86,true
0.3,0.2,0.1,0.4,87,fake
0.45,0.3,0.2,0.4,87,true
0.65,0.45,0.2,0.3,88,fake
0.6,0.3,0.2,0.4,88,true
0.75,0.65,0.4,0.8,89,fake
0.65,0.55,0.2,0.75,89,true
0.65,0.7,0.2,0.3,90,fake
0.75,0.6,0.4,0.3,90,true
0.7,0.6,0.2,0.4,91,fake
0.65,0.55,0.2,0.4,91,true
0.55,0.4,0.2,0.3,92,fake
0.45,0.3,0.2,0.4,92,true
0.35,0.25,0.15,0.45,93,fake
0.4,0.3,0.2,0.5,93,true
0.15,0.1,0.05,0.8,94,fake
0.3,0.2,0.05,0.6,94,true
0.65,0.55,0.2,0.5,95,fake
0.55,0.3,0.2,0.4,95,true
0.6,0.45,0.2,0.7,96,fake
0.6,0.4,0.2,0.7,96,true
0.4,0.3,0.1,0.2,97,fake
0.6,0.4,0.2,0.3,97,true
0.75,0.6,0.2,0.7,98,fake
0.75,0.6,0.05,0.7,98,true
0.2,0.1,0.05,0.8,99,fake
0.3,0.2,0.05,0.8,99,true
0.3,0.4,0.2,0.6,100,fake
0.45,0.3,0.2,0.4,100,true
0.75,0.7,0.4,0.2,101,fake
0.75,0.65,0.3,0.2,101,true
0.2,0.3,0.1,0.4,102,fake
0.3,0.2,0.1,0.4,102,true
0.75,0.65,0.2,0.8,103,fake
0.75,0.8,0.2,0.7,103,true
0.6,0.7,0.2,0.3,104,fake
0.45,0.3,0.1,0.2,104,true
0.65,0.7,0.15,0.8,105,fake
0.65,0.5,0.15,0.8,105,true
0.45,0.35,0.2,0.4,106,fake
0.6,0.4,0.3,0.5,106,true
0.65,0.7,0.2,0.55,107,fake
0.65,0.4,0.3,0.6,107,true
0.45,0.3,0.15,0.7,108,fake
0.45,0.3,0.2,0.4,108,true
0.35,0.2,0.15,0.8,109,fake
0.35,0.2,0.15,0.75,109,true
0.65,0.55,0.2,0.4,110,fake
0.65,0.4,0.2,0.55,110,true
0.4,0.2,0.1,0.3,111,fake
0.4,0.3,0.2,0.6,111,true
0.2,0.15,0.05,0.6,112,fake
0.45,0.2,0.05,0.4,112,true
0.65,0.4,0.2,0.55,113,fake
0.65,0.3,0.1,0.7,113,true
0.2,0.15,0.05,0.6,114,fake
0.65,0.4,0.15,0.45,114,true
0.35,0.2,0.15,0.6,115,fake
0.35,0.2,0.15,0.65,115,true
0.75,0.8,0.6,0.2,116,fake
0.75,0.6,0.25,0.2,116,true
0.75,0.65,0.15,0.8,117,fake
0.65,0.3,0.15,0.8,117,true
0.15,0.05,0.02,0.6,118,fake
0.3,0.1,0.05,0.6,118,true
0.65,0.5,0.3,0.8,119,fake
0.8,0.7,0.2,0.75,119,true
0.3,0.2,0.15,0.4,120,fake
0.4,0.2,0.05,0.6,120,true
0.8,0.75,0.3,0.2,121,fake
0.85,0.7,0.05,0.9,121,true
0.3,0.2,0.05,0.6,122,fake
0.45,0.3,0.1,0.6,122,true
0.15,0.1,0.05,0.85,123,fake
0.4,0.3,0.2,0.8,123,true
0.6,0.5,0.3,0.2,124,fake
0.65,0.45,0.2,0.3,124,true
0.4,0.2,0.1,0.7,125,fake
0.45,0.3,0.2,0.6,125,true
0.65,0.5,0.2,0.8,126,fake
0.65,0.3,0.1,0.8,126,true
0.4,0.3,0.2,0.5,127,fake
0.65,0.45,0.15,0.4,127,true
0.2,0.1,0.05,0.7,128,fake
0.6,0.3,0.2,0.4,128,true
0.15,0.05,0.02,0.6,129,fake
0.4,0.2,0.05,0.7,129,true
0.35,0.25,0.15,0.2,130,fake
0.65,0.35,0.15,0.45,130,true
0.45,0.3,0.2,0.4,131,fake
0.6,0.4,0.2,0.5,131,true
0.2,0.1,0.05,0.6,132,fake
0.4,0.2,0.05,0.6,132,true
0.45,0.35,0.2,0.3,133,fake
0.45,0.3,0.2,0.4,133,true
0.45,0.3,0.1,0.5,134,fake
0.45,0.2,0.1,0.4,134,true
0.65,0.7,0.2,0.3,135,fake
0.75,0.6,0.2,0.8,135,true
0.65,0.5,0.2,0.3,136,fake
0.3,0.15,0.05,0.8,136,true
0.2,0.1,0.05,0.8,137,fake
0.4,0.2,0.05,0.7,137,true
0.3,0.2,0.1,0.8,138,fake
0.6,0.3,0.1,0.7,138,true
0.75,0.8,0.2,0.85,139,fake
0.65,0.7,0.15,0.8,139,true
0.6,0.4,0.15,0.3,140,fake
0.4,0.2,0.05,0.3,140,true
0.6,0.4,0.2,0.7,141,fake
0.45,0.2,0.3,0.6,141,true
0.3,0.2,0.1,0.4,142,fake
0.4,0.3,0.2,0.5,142,true
0.35,0.2,0.15,0.3,143,fake
0.4,0.2,0.15,0.6,143,true
0.2,0.3,0.15,0.8,144,fake
0.4,0.2,0.05,0.7,144,true
0.65,0.7,0.3,0.6,145,fake
0.6,0.4,0.2,0.7,145,true
0.3,0.2,0.15,0.7,146,fake
0.6,0.3,0.2,0.4,146,true
0.65,0.5,0.2,0.8,147,fake
0.65,0.45,0.3,0.8,147,true
0.45,0.3,0.2,0.7,148,fake
0.45,0.2,0.15,0.75,148,true
0.3,0.2,0.1,0.4,149,fake
0.55,0.3,0.2,0.4,149,true
0.65,0.5,0.1,0.8,150,fake
0.7,0.9,0.1,0.8,150,true
0.65,0.55,0.15,0.4,151,fake
0.55,0.3,0.2,0.7,151,true
0.4,0.2,0.1,0.6,152,fake
0.4,0.3,0.2,0.6,152,true
0.65,0.55,0.2,0.8,153,fake
0.65,0.55,0.2,0.75,153,true
0.2,0.1,0.05,0.9,154,fake
0.2,0.1,0.05,0.9,154,true
0.35,0.2,0.15,0.4,155,fake
0.4,0.2,0.1,0.8,155,true
0.45,0.3,0.2,0.55,156,fake
0.45,0.35,0.2,0.4,156,true
0.2,0.15,0.05,0.6,157,fake
0.6,0.3,0.2,0.4,157,true
0.65,0.7,0.15,0.3,158,fake
0.55,0.65,0.2,0.45,158,true
0.3,0.4,0.2,0.5,159,fake
0.4,0.3,0.2,0.5,159,true
0.3,0.2,0.1,0.6,160,fake
0.45,0.35,0.15,0.55,160,true
0.2,0.1,0.05,0.8,161,fake
0.65,0.2,0.1,0.7,161,true
0.35,0.2,0.15,0.6,162,fake
0.75,0.4,0.2,0.6,162,true
0.2,0.15,0.05,0.8,163,fake
0.4,0.2,0.05,0.8,163,true
0.65,0.4,0.1,0.2,164,fake
0.45,0.3,0.15,0.25,164,true
0.75,0.65,0.3,0.4,165,fake
0.7,0.6,0.2,0.4,165,true
0.2,0.15,0.1,0.8,166,fake
0.65,0.4,0.15,0.75,166,true
0.75,0.8,0.2,0.2,167,fake
0.75,0.8,0.6,0.2,167,true
0.2,0.1,0.05,0.7,168,fake
0.45,0.2,0.05,0.6,168,true
0.75,0.8,0.2,0.3,169,fake
0.75,0.65,0.2,0.7,169,true
0.35,0.2,0.15,0.55,170,fake
0.4,0.2,0.1,0.5,170,true
0.2,0.15,0.05,0.7,171,fake
0.3,0.2,0.1,0.6,171,true
0.45,0.3,0.2,0.1,172,fake
0.6,0.2,0.1,0.7,172,true
0.35,0.2,0.15,0.6,173,fake
0.4,0.2,0.1,0.6,173,true
0.45,0.35,0.15,0.4,174,fake
0.45,0.3,0.2,0.4,174,true
0.35,0.2,0.15,0.4,175,fake
0.45,0.3,0.2,0.4,175,true
0.65,0.55,0.2,0.7,176,fake
0.7,0.6,0.15,0.4,176,true
0.2,0.1,0.05,0.8,177,fake
0.4,0.2,0.05,0.8,177,true
0.65,0.75,0.3,0.2,178,fake
0.85,0.6,0.2,0.8,178,true
0.4,0.3,0.2,0.6,179,fake
0.65,0.2,0.15,0.55,179,true
0.3,0.2,0.15,0.6,180,fake
0.55,0.3,0.15,0.45,180,true
0.65,0.75,0.3,0.4,181,fake
0.65,0.7,0.25,0.45,181,true
0.65,0.7,0.2,0.8,182,fake
0.65,0.55,0.2,0.8,182,true
0.45,0.35,0.2,0.4,183,fake
0.55,0.3,0.15,0.35,183,true
0.65,0.45,0.2,0.6,184,fake
0.65,0.3,0.1,0.6,184,true
0.65,0.75,0.2,0.6,185,fake
0.7,0.6,0.4,0.5,185,true
0.55,0.4,0.15,0.6,186,fake
0.65,0.4,0.25,0.6,186,true
0.65,0.45,0.2,0.3,187,fake
0.65,0.4,0.15,0.55,187,true
0.4,0.2,0.05,0.6,188,fake
0.45,0.15,0.1,0.6,188,true
0.4,0.6,0.2,0.3,189,fake
0.55,0.4,0.15,0.3,189,true
0.35,0.25,0.15,0.4,190,fake
0.45,0.3,0.2,0.4,190,true
0.65,0.5,0.2,0.3,191,fake
0.75,0.65,0.2,0.4,191,true
0.4,0.3,0.2,0.6,192,fake
0.6,0.3,0.2,0.7,192,true
0.75,0.6,0.2,0.8,193,fake
0.7,0.6,0.2,0.8,193,true
0.15,0.05,0.1,0.1,194,fake
0.45,0.15,0.1,0.3,194,true
0.4,0.2,0.3,0.7,195,fake
0.75,0.1,0.05,0.6,195,true
0.35,0.4,0.15,0.25,196,fake
0.65,0.45,0.2,0.3,196,true
0.3,0.2,0.1,0.2,197,fake
0.4,0.2,0.1,0.3,197,true
0.15,0.2,0.05,0.1,198,fake
0.65,0.7,0.15,0.2,198,true
0.3,0.2,0.15,0.4,199,fake
0.45,0.2,0.05,0.6,199,true
0.2,0.15,0.05,0.6,100001,fake
0.35,0.25,0.05,0.6,100001,true
0.3,0.2,0.15,0.6,100002,fake
0.2,0.1,0.05,0.7,100002,true
0.2,0.15,0.05,0.6,100003,fake
0.3,0.2,0.1,0.6,100003,true
0.2,0.15,0.05,0.7,100004,fake
0.2,0.1,0.05,0.8,100004,true
0.2,0.1,0.15,0.8,100005,fake
0.35,0.2,0.05,0.65,100005,true
0.2,0.15,0.1,0.7,100006,fake
0.3,0.2,0.05,0.7,100006,true
0.35,0.2,0.15,0.65,100007,fake
0.35,0.2,0.1,0.65,100007,true
0.2,0.15,0.05,0.6,100008,fake
0.3,0.2,0.05,0.7,100008,true
0.2,0.1,0.05,0.4,100009,fake
0.3,0.2,0.15,0.6,100009,true
0.2,0.15,0.05,0.65,100010,fake
0.3,0.2,0.05,0.6,100010,true
0.2,0.15,0.05,0.7,100011,fake
0.2,0.1,0.05,0.8,100011,true
0.2,0.15,0.05,0.7,100012,fake
0.2,0.15,0.05,0.7,100012,true
0.2,0.15,0.1,0.7,100013,fake
0.2,0.1,0.05,0.8,100013,true
0.3,0.2,0.1,0.7,100014,fake
0.3,0.2,0.1,0.7,100014,true
0.2,0.2,0.1,0.7,100015,fake
0.2,0.15,0.05,0.75,100015,true
0.2,0.15,0.05,0.7,100016,fake
0.4,0.3,0.1,0.6,100016,true
0.2,0.15,0.05,0.8,100017,fake
0.3,0.2,0.05,0.8,100017,true
0.2,0.1,0.05,0.8,100018,fake
0.2,0.1,0.05,0.7,100018,true
0.2,0.15,0.1,0.7,100019,fake
0.35,0.25,0.05,0.65,100019,true
0.2,0.15,0.05,0.6,100020,fake
0.3,0.2,0.05,0.6,100020,true
0.2,0.15,0.05,0.8,100021,fake
0.3,0.2,0.1,0.7,100021,true
0.2,0.15,0.05,0.6,100022,fake
0.35,0.2,0.05,0.65,100022,true
0.2,0.15,0.05,0.8,100023,fake
0.2,0.15,0.05,0.75,100023,true
0.15,0.05,0.02,0.65,100024,fake
0.45,0.25,0.1,0.65,100024,true
0.15,0.1,0.05,0.8,100025,fake
0.2,0.15,0.05,0.8,100025,true
0.2,0.15,0.05,0.7,100026,fake
0.2,0.15,0.05,0.7,100026,true
0.2,0.15,0.05,0.6,100027,fake
0.35,0.2,0.1,0.6,100027,true
0.2,0.15,0.05,0.6,100028,fake
0.3,0.2,0.15,0.65,100028,true
0.2,0.1,0.05,0.7,100029,fake
0.3,0.2,0.05,0.6,100029,true
0.2,0.1,0.05,0.7,100030,fake
0.35,0.2,0.05,0.6,100030,true
0.2,0.1,0.05,0.8,100031,fake
0.3,0.2,0.05,0.7,100031,true
0.15,0.05,0.02,0.8,100032,fake
0.2,0.15,0.05,0.8,100032,true
0.2,0.15,0.05,0.7,100033,fake
0.3,0.2,0.1,0.4,100033,true
0.15,0.1,0.05,0.65,100034,fake
0.3,0.2,0.05,0.6,100034,true
0.2,0.15,0.05,0.6,100035,fake
0.3,0.2,0.05,0.6,100035,true
0.2,0.1,0.05,0.8,100036,fake
0.3,0.2,0.05,0.7,100036,true
0.3,0.2,0.15,0.4,100037,fake
0.3,0.2,0.05,0.7,100037,true
0.15,0.1,0.05,0.7,100038,fake
0.2,0.15,0.05,0.7,100038,true
0.3,0.2,0.05,0.6,100039,fake
0.3,0.2,0.05,0.6,100039,true
0.35,0.2,0.1,0.6,100040,fake
0.3,0.2,0.1,0.6,100040,true
0.3,0.2,0.15,0.6,100041,fake
0.2,0.15,0.05,0.65,100041,true
0.2,0.15,0.05,0.6,100042,fake
0.2,0.15,0.05,0.6,100042,true
0.2,0.15,0.05,0.7,100043,fake
0.35,0.25,0.1,0.65,100043,true
0.2,0.15,0.05,0.6,100044,fake
0.2,0.1,0.05,0.7,100044,true
0.2,0.1,0.05,0.75,100045,fake
0.2,0.15,0.05,0.8,100045,true
0.2,0.1,0.05,0.6,100046,fake
0.2,0.15,0.05,0.7,100046,true
0.2,0.1,0.05,0.6,100047,fake
0.2,0.1,0.15,0.8,100047,true
0.2,0.15,0.05,0.6,100048,fake
0.2,0.3,0.05,0.7,100048,true
0.2,0.15,0.05,0.6,100049,fake
0.2,0.1,0.05,0.7,100049,true
0.2,0.15,0.05,0.8,100050,fake
0.3,0.2,0.05,0.7,100050,true
0.25,0.15,0.05,0.65,100051,fake
0.35,0.25,0.15,0.6,100051,true
0.15,0.1,0.05,0.7,100052,fake
0.2,0.15,0.05,0.75,100052,true
0.2,0.15,0.05,0.75,100053,fake
0.2,0.15,0.05,0.75,100053,true
0.2,0.15,0.05,0.6,100054,fake
0.3,0.2,0.1,0.5,100054,true
0.2,0.15,0.05,0.7,100055,fake
0.3,0.2,0.05,0.4,100055,true
0.2,0.1,0.05,0.7,100056,fake
0.2,0.15,0.05,0.7,100056,true
0.15,0.05,0.02,0.8,100057,fake
0.3,0.2,0.05,0.7,100057,true
0.15,0.1,0.05,0.6,100058,fake
0.3,0.2,0.05,0.6,100058,true
0.2,0.1,0.05,0.6,100059,fake
0.35,0.15,0.05,0.6,100059,true
0.2,0.1,0.05,0.8,100060,fake
0.2,0.15,0.05,0.75,100060,true
