importance,emotional_intensity,relevance,pid,story
0.2,0.4,0.3,61,fake
0.3,0.2,0.4,61,true
0.7,0.8,0.6,62,fake
0.4,0.2,0.3,62,true
0.8,0.9,0.75,63,fake
0.8,0.4,0.6,63,true
0.3,0.6,0.2,64,fake
0.4,0.2,0.3,64,true
0.3,0.8,0.2,65,fake
0.2,0.1,0.15,65,true
0.8,0.9,0.7,66,fake
0.4,0.3,0.2,66,true
0.7,0.8,0.6,67,fake
0.7,0.2,0.6,67,true
0.3,0.7,0.2,68,fake
0.8,0.2,0.5,68,true
0.3,0.6,0.2,69,fake
0.4,0.2,0.3,69,true
0.4,0.7,0.3,70,fake
0.6,0.3,0.4,70,true
0.8,0.9,0.7,71,fake
0.6,0.3,0.4,71,true
0.7,0.8,0.5,72,fake
0.7,0.4,0.6,72,true
0.8,0.9,0.7,73,fake
0.7,0.4,0.6,73,true
0.3,0.6,0.4,74,fake
0.6,0.3,0.4,74,true
0.2,0.8,0.3,75,fake
0.3,0.2,0.4,75,true
0.6,0.75,0.5,76,fake
0.4,0.2,0.3,76,true
0.85,0.9,0.8,77,fake
0.3,0.2,0.4,77,true
0.2,0.7,0.3,78,fake
0.3,0.2,0.4,78,true
0.2,0.4,0.3,79,fake
0.3,0.2,0.4,79,true
0.8,0.9,0.7,80,fake
0.8,0.6,0.7,80,true
0.8,0.9,0.7,81,fake
0.7,0.3,0.6,81,true
0.2,0.4,0.1,82,fake
0.4,0.2,0.3,82,true
0.2,0.8,0.3,83,fake
0.3,0.2,0.4,83,true
0.4,0.7,0.3,84,fake
0.6,0.3,0.4,84,true
0.75,0.8,0.6,85,fake
0.75,0.4,0.65,85,true
0.4,0.7,0.3,86,fake
0.6,0.3,0.5,86,true
0.3,0.6,0.2,87,fake
0.6,0.2,0.4,87,true
0.2,0.4,0.3,88,fake
0.2,0.1,0.15,88,true
0.8,0.9,0.7,89,fake
0.3,0.2,0.4,89,true
0.8,0.9,0.7,90,fake
0.4,0.2,0.3,90,true
0.45,0.7,0.4,91,fake
0.75,0.4,0.6,91,true
0.4,0.7,0.3,92,fake
0.4,0.2,0.3,92,true
0.55,0.65,0.4,93,fake
0.65,0.3,0.4,93,true
0.2,0.4,0.15,94,fake
0.35,0.2,0.4,94,true
0.4,0.7,0.3,95,fake
0.65,0.4,0.5,95,true
0.2,0.7,0.3,96,fake
0.3,0.2,0.4,96,true
0.3,0.6,0.4,97,fake
0.2,0.1,0.15,97,true
0.2,0.7,0.3,98,fake
0.45,0.2,0.3,98,true
0.2,0.4,0.1,99,fake
0.6,0.2,0.4,99,true
0.3,0.7,0.2,100,fake
0.65,0.3,0.4,100,true
0.8,0.9,0.7,101,fake
0.8,0.7,0.6,101,true
0.2,0.4,0.3,102,fake
0.65,0.2,0.5,102,true
0.8,0.9,0.7,103,fake
0.9,0.3,0.8,103,true
0.3,0.7,0.2,104,fake
0.3,0.2,0.4,104,true
0.8,0.9,0.7,105,fake
0.3,0.2,0.4,105,true
0.3,0.6,0.4,106,fake
0.4,0.2,0.3,106,true
0.3,0.6,0.4,107,fake
0.4,0.2,0.3,107,true
0.4,0.7,0.3,108,fake
0.7,0.2,0.5,108,true
0.2,0.3,0.15,109,fake
0.4,0.2,0.3,109,true
0.6,0.75,0.5,110,fake
0.4,0.2,0.3,110,true
0.65,0.75,0.6,111,fake
0.65,0.3,0.6,111,true
0.2,0.7,0.3,112,fake
0.75,0.2,0.65,112,true
0.8,0.85,0.75,113,fake
0.3,0.2,0.4,113,true
0.6,0.75,0.4,114,fake
0.6,0.3,0.4,114,true
0.3,0.7,0.4,115,fake
0.6,0.3,0.4,115,true
0.8,0.9,0.7,116,fake
0.7,0.3,0.6,116,true
0.2,0.75,0.3,117,fake
0.75,0.3,0.6,117,true
0.3,0.6,0.2,118,fake
0.4,0.2,0.3,118,true
0.8,0.9,0.7,119,fake
0.2,0.1,0.15,119,true
0.3,0.6,0.2,120,fake
0.4,0.2,0.3,120,true
0.8,0.9,0.7,121,fake
0.3,0.2,0.4,121,true
0.2,0.4,0.3,122,fake
0.6,0.3,0.4,122,true
0.2,0.7,0.3,123,fake
0.35,0.2,0.4,123,true
0.8,0.9,0.7,124,fake
0.7,0.3,0.6,124,true
0.6,0.8,0.4,125,fake
0.4,0.2,0.3,125,true
0.8,0.9,0.7,126,fake
0.8,0.2,0.6,126,true
0.4,0.65,0.3,127,fake
0.65,0.3,0.4,127,true
0.3,0.6,0.4,128,fake
0.7,0.3,0.5,128,true
0.3,0.6,0.2,129,fake
0.75,0.3,0.6,129,true
0.65,0.7,0.4,130,fake
0.6,0.3,0.5,130,true
0.6,0.75,0.5,131,fake
0.65,0.3,0.4,131,true
0.2,0.4,0.1,132,fake
0.4,0.2,0.3,132,true
0.7,0.8,0.6,133,fake
0.4,0.2,0.3,133,true
0.3,0.6,0.2,134,fake
0.7,0.3,0.6,134,true
0.8,0.9,0.7,135,fake
0.2,0.1,0.3,135,true
0.3,0.7,0.2,136,fake
0.4,0.2,0.3,136,true
0.2,0.7,0.3,137,fake
0.2,0.1,0.3,137,true
0.2,0.7,0.3,138,fake
0.8,0.2,0.7,138,true
0.7,0.8,0.6,139,fake
0.4,0.2,0.3,139,true
0.3,0.6,0.2,140,fake
0.65,0.2,0.5,140,true
0.3,0.7,0.4,141,fake
0.3,0.2,0.25,141,true
0.4,0.7,0.3,142,fake
0.6,0.3,0.5,142,true
0.2,0.3,0.1,143,fake
0.4,0.2,0.3,143,true
0.3,0.7,0.2,144,fake
0.8,0.2,0.6,144,true
0.2,0.7,0.3,145,fake
0.2,0.1,0.3,145,true
0.3,0.6,0.4,146,fake
0.6,0.2,0.4,146,true
0.2,0.7,0.3,147,fake
0.3,0.2,0.4,147,true
0.2,0.7,0.3,148,fake
0.4,0.2,0.3,148,true
0.4,0.7,0.3,149,fake
0.45,0.2,0.4,149,true
0.2,0.7,0.3,150,fake
0.2,0.1,0.15,150,true
0.4,0.7,0.3,151,fake
0.6,0.2,0.5,151,true
0.2,0.6,0.3,152,fake
0.85,0.4,0.6,152,true
0.75,0.85,0.6,153,fake
0.8,0.3,0.7,153,true
0.05,0.2,0.1,154,fake
0.4,0.2,0.3,154,true
0.2,0.4,0.3,155,fake
0.8,0.2,0.6,155,true
0.5,0.7,0.4,156,fake
0.6,0.4,0.5,156,true
0.4,0.6,0.3,157,fake
0.7,0.3,0.4,157,true
0.75,0.85,0.6,158,fake
0.7,0.4,0.6,158,true
0.3,0.7,0.2,159,fake
0.45,0.2,0.3,159,true
0.55,0.7,0.4,160,fake
0.6,0.3,0.5,160,true
0.2,0.4,0.3,161,fake
0.75,0.3,0.6,161,true
0.3,0.7,0.4,162,fake
0.65,0.3,0.4,162,true
0.2,0.6,0.3,163,fake
0.75,0.2,0.6,163,true
0.3,0.7,0.2,164,fake
0.4,0.2,0.3,164,true
0.8,0.9,0.7,165,fake
0.4,0.3,0.2,165,true
0.2,0.7,0.3,166,fake
0.3,0.2,0.4,166,true
0.8,0.9,0.7,167,fake
0.8,0.3,0.6,167,true
0.6,0.7,0.3,168,fake
0.6,0.2,0.4,168,true
0.8,0.9,0.7,169,fake
0.7,0.3,0.6,169,true
0.2,0.6,0.3,170,fake
0.65,0.3,0.5,170,true
0.2,0.7,0.3,171,fake
0.65,0.3,0.4,171,true
0.4,0.7,0.3,172,fake
0.7,0.2,0.6,172,true
0.3,0.45,0.2,173,fake
0.6,0.2,0.4,173,true
0.65,0.8,0.4,174,fake
0.75,0.4,0.6,174,true
0.3,0.6,0.2,175,fake
0.6,0.3,0.4,175,true
0.7,0.8,0.6,176,fake
0.7,0.4,0.6,176,true
0.3,0.6,0.2,177,fake
0.35,0.2,0.4,177,true
0.8,0.9,0.7,178,fake
0.8,0.3,0.7,178,true
0.3,0.6,0.4,179,fake
0.35,0.2,0.3,179,true
0.2,0.6,0.3,180,fake
0.65,0.3,0.5,180,true
0.8,0.9,0.7,181,fake
0.4,0.2,0.3,181,true
0.9,0.8,0.7,182,fake
0.3,0.2,0.4,182,true
0.4,0.6,0.3,183,fake
0.6,0.3,0.5,183,true
0.7,0.8,0.6,184,fake
0.75,0.3,0.6,184,true
0.8,0.9,0.7,185,fake
0.75,0.4,0.6,185,true
0.65,0.8,0.4,186,fake
0.4,0.2,0.3,186,true
0.6,0.8,0.5,187,fake
0.7,0.3,0.5,187,true
0.2,0.4,0.3,188,fake
0.6,0.2,0.4,188,true
0.4,0.8,0.3,189,fake
0.3,0.2,0.4,189,true
0.3,0.6,0.2,190,fake
0.3,0.2,0.4,190,true
0.8,0.9,0.7,191,fake
0.7,0.4,0.6,191,true
0.7,0.8,0.6,192,fake
0.75,0.4,0.6,192,true
0.2,0.3,0.1,193,fake
0.4,0.2,0.35,193,true
0.2,0.3,0.1,194,fake
0.4,0.2,0.3,194,true
0.2,0.7,0.3,195,fake
0.6,0.3,0.4,195,true
0.8,0.9,0.75,196,fake
0.4,0.2,0.3,196,true
0.3,0.6,0.2,197,fake
0.4,0.2,0.3,197,true
0.2,0.7,0.3,198,fake
0.7,0.2,0.5,198,true
0.2,0.65,0.3,199,fake
0.6,0.3,0.4,199,true
